"log2FoldChange","logCPM","LR","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
-2.21819414222053,2.48906253355211,242.497478663451,1.12241947362103e-54,1.93067373657554e-50,"ENSG00000001617",-2.21819414222053,"down","SEMA3F",9606,6405,"NULL","3","3p21.3","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","protein-coding","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","O","sema III/F|sema IV|sema domain, immunogl"
-2.09553010274646,3.55232515090453,136.160476674272,1.84038913552332e-31,2.82481328411475e-27,"ENSG00000003137",-2.09553010274646,"down","CYP26B1",9606,56603,"NULL","2","2p13.2","cytochrome P450, family 26, subfamily B, polypeptide 1","protein-coding","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1","O","cytochrome P450 26B1|cytochrome P450 ret"
2.42596116193285,5.7439839024579,165.277786029277,7.9547866427751e-38,1.27570913390184e-33,"ENSG00000004468",2.42596116193285,"up","CD38",9606,952,"NULL","4","4p15","CD38 molecule","protein-coding","CD38","CD38 molecule","O","ADP-ribosyl cyclase 1|ADP-ribosyl cyclas"
4.03426629663682,-0.143863869556683,33.9837156101397,5.55752604591631e-09,5.10903369401086e-05,"ENSG00000005073",4.03426629663682,"up","HOXA11",9606,3207,"NULL","7","7p15.2","homeobox A11","protein-coding","HOXA11","homeobox A11","O","homeo box 1I|homeobox protein HOXA11|hom"
-2.08087545179244,6.83930741639091,462.638703871681,1.28134849429806e-102,2.30873371702625e-98,"ENSG00000005379",-2.08087545179244,"down","BZRAP1",9606,9256,"NULL","17","17q22-q23","benzodiazapine receptor (peripheral) associated protein 1","protein-coding","BZRAP1","benzodiazapine receptor (peripheral) associated protein 1","O","RIMS-binding protein 1|peripheral benzod"
2.13432133918779,9.27980184160517,156.229649470931,7.54196109133864e-36,1.19464663686804e-31,"ENSG00000005513",2.13432133918779,"up","SOX8",9606,30812,"NULL","16","16p13.3","SRY (sex determining region Y)-box 8","protein-coding","SOX8","SRY (sex determining region Y)-box 8","O","transcription factor SOX-8"
-2.07995891025395,3.92270795172633,77.7172911512357,1.18895945008415e-18,1.53197425143343e-14,"ENSG00000006116",-2.07995891025395,"down","CACNG3",9606,10368,"NULL","16","16p12.1","calcium channel, voltage-dependent, gamma subunit 3","protein-coding","CACNG3","calcium channel, voltage-dependent, gamma subunit 3","O","TARP gamma-3|neuronal voltage-gated calc"
2.56806303365249,8.00839289980278,222.020858648177,3.27787009046666e-50,5.56844570968477e-46,"ENSG00000006468",2.56806303365249,"up","ETV1",9606,2115,"NULL","7","7p21.3","ets variant 1","protein-coding","ETV1","ets variant 1","O","ETS translocation variant 1|ets variant "
2.8435611236209,5.23667855637354,108.420115206938,2.17439781317723e-25,3.12656661556754e-21,"ENSG00000006611",2.8435611236209,"up","USH1C",9606,10083,"NULL","11","11p14.3","Usher syndrome 1C (autosomal recessive, severe)","protein-coding","USH1C","Usher syndrome 1C (autosomal recessive, severe)","O","antigen NY-CO-38/NY-CO-37|autoimmune ent"
-2.55958070677894,3.6785416606956,303.015170159361,7.25902183043819e-68,1.27874928564999e-63,"ENSG00000007264",-2.55958070677894,"down","MATK",9606,4145,"NULL","19","19p13.3","megakaryocyte-associated tyrosine kinase","protein-coding","MATK","megakaryocyte-associated tyrosine kinase","O","CSK homologous kinase|Csk-homologous kin"
