"log2FoldChange","logCPM","LR","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
2.44627615360929,4.807967264607,448.731028492756,1.36232193740613e-99,2.30041682350399e-95,"ENSG00000003249",2.44627615360929,"up","DBNDD1",9606,79007,"NULL","16","16q24.3","dysbindin (dystrobrevin binding protein 1) domain containing 1","protein-coding","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1","O","dysbindin domain-containing protein 1"
2.08573830898252,2.10234150509073,75.3682492124392,3.90621248340149e-18,3.54098161620345e-14,"ENSG00000004848",2.08573830898252,"up","ARX",9606,170302,"NULL","X","Xp21.3","aristaless related homeobox","protein-coding","ARX","aristaless related homeobox","O","aristaless-related homeobox, X-linked|ca"
2.69927384625757,1.4861373311576,39.9891560195756,2.55376654212855e-10,1.71791875288987e-06,"ENSG00000005421",2.69927384625757,"up","PON1",9606,5444,"NULL","7","7q21.3","paraoxonase 1","protein-coding","PON1","paraoxonase 1","O","A-esterase 1|K-45|PON 1|aromatic esteras"
2.56321635032639,5.46365225049255,74.8127589529383,5.17541562236672e-18,4.67391784855938e-14,"ENSG00000006468",2.56321635032639,"up","ETV1",9606,2115,"NULL","7","7p21.3","ets variant 1","protein-coding","ETV1","ets variant 1","O","ETS translocation variant 1|ets variant "
2.53370677905983,2.92848712605439,166.517510231734,4.26404847206476e-38,5.46096687817334e-34,"ENSG00000007264",2.53370677905983,"up","MATK",9606,4145,"NULL","19","19p13.3","megakaryocyte-associated tyrosine kinase","protein-coding","MATK","megakaryocyte-associated tyrosine kinase","O","CSK homologous kinase|Csk-homologous kin"
2.16061518395674,0.295566079754124,74.6749753106803,5.5495121206397e-18,5.0089896400894e-14,"ENSG00000007952",2.16061518395674,"up","NOX1",9606,27035,"RP1-146H21.1","X","Xq22","NADPH oxidase 1","protein-coding","NOX1","NADPH oxidase 1","O","NADH/NADPH mitogenic oxidase subunit P65"
-2.005763365368,1.03847076409661,290.346831934984,4.17815867512564e-65,6.42600804234323e-61,"ENSG00000008118",-2.005763365368,"down","CAMK1G",9606,57172,"RP1-272L16.2","1","1q32.2","calcium/calmodulin-dependent protein kinase IG","protein-coding","CAMK1G","calcium/calmodulin-dependent protein kinase IG","O","CLICK III|caM kinase I gamma|caM kinase "
-2.19796694951342,1.32100753692526,477.271550222975,8.38400903324393e-106,1.42913817980676e-101,"ENSG00000008226",-2.19796694951342,"down","DLEC1",9606,9940,"NULL","3","3p21.3","deleted in lung and esophageal cancer 1","protein-coding","DLEC1","deleted in lung and esophageal cancer 1","O","DLC-1|deleted in lung and esophageal can"
-2.49832744165431,3.42141689459761,872.318226760743,1.02237441211619e-191,1.83045914745283e-187,"ENSG00000010295",-2.49832744165431,"down","IFFO1",9606,25900,"NULL","12","12p13.3","intermediate filament family orphan 1","protein-coding","IFFO1","intermediate filament family orphan 1","O","intermediate filament-like MGC:2625"
-2.85616752719678,1.54849502667039,529.146547245625,4.33134105078272e-117,7.47806032417636e-113,"ENSG00000010310",-2.85616752719678,"down","GIPR",9606,2696,"NULL","19","19q13.3","gastric inhibitory polypeptide receptor","protein-coding","GIPR","gastric inhibitory polypeptide receptor","O","GIP-R|glucose-dependent insulinotropic p"
-2.37549019045419,5.59219616939386,821.751478680169,1.00687734853092e-180,1.7976788180671e-176,"ENSG00000010327",-2.37549019045419,"down","STAB1",9606,23166,"NULL","3","3p21.1","stabilin 1","protein-coding","STAB1","stabilin 1","O","MS-1 antigen|common lymphatic endothelia"
2.26714727140824,3.96598663175652,364.176723679769,3.46839653294027e-81,5.63059493157524e-77,"ENSG00000011052",2.26714727140824,"up","NME2",9606,4831,"NULL","17","17q21.3","NME/NM23 nucleoside diphosphate kinase 2","protein-coding","NME2","NME/NM23 nucleoside diphosphate kinase 2","O","NDP kinase B|c-myc purine-binding transc"
-2.20716073303786,4.91053210449535,744.464898945188,6.41117658282163e-164,1.1397148611282e-159,"ENSG00000012171",-2.20716073303786,"down","SEMA3B",9606,7869,"NULL","3","3p21.3","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","protein-coding","SEMA3B","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","O","sema A(V)|sema V|semaphorin A|semaphorin"
2.48329347023413,9.29780673159504,52.8903566183258,3.52696938067147e-13,2.71047596904602e-09,"ENSG00000012223",2.48329347023413,"up","LTF",9606,4057,"NULL","3","3p21.31","lactotransferrin","protein-coding","LTF","lactotransferrin","O","growth-inhibiting protein 12|neutrophil "
-2.40058973718246,2.99510466249892,935.466513785995,1.91421381834828e-205,3.43505669702598e-201,"ENSG00000014914",-2.40058973718246,"down","MTMR11",9606,10903,"NULL","1","1q12-q21","myotubularin related protein 11","protein-coding","MTMR11","myotubularin related protein 11","O","cisplatin resistance associated|cisplati"
