"log2FoldChange","logCPM","LR","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
2.24582475521248,4.50148471577413,175.619187391418,4.38524032536776e-40,5.96217274637001e-36,"ENSG00000003249",2.24582475521248,"up","DBNDD1",9606,79007,"NULL","16","16q24.3","dysbindin (dystrobrevin binding protein 1) domain containing 1","protein-coding","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1","O","dysbindin domain-containing protein 1"
2.06145998116971,3.2394065343055,90.6182852657327,1.74242656391242e-21,1.94263137610596e-17,"ENSG00000006118",2.06145998116971,"up","TMEM132A",9606,54972,"NULL","11","11q12.2","transmembrane protein 132A","protein-coding","TMEM132A","transmembrane protein 132A","O","GRP78-binding protein|HSPA5-binding prot"
3.23773517158722,3.11286877591729,74.814282332602,5.17142373213598e-18,5.39379495261782e-14,"ENSG00000006611",3.23773517158722,"up","USH1C",9606,10083,"NULL","11","11p14.3","Usher syndrome 1C (autosomal recessive, severe)","protein-coding","USH1C","Usher syndrome 1C (autosomal recessive, severe)","O","antigen NY-CO-38/NY-CO-37|autoimmune ent"
2.0866158068458,0.201658334630622,104.642178425528,1.4630893040697e-24,1.71678898939538e-20,"ENSG00000007171",2.0866158068458,"up","NOS2",9606,4843,"NULL","17","17q11.2-q12","nitric oxide synthase 2, inducible","protein-coding","NOS2","nitric oxide synthase 2, inducible","O","NOS type II|NOS, type II|hepatocyte NOS|"
2.81201367529792,1.47479917514128,97.9641847863396,4.26018617658179e-23,4.89197178656887e-19,"ENSG00000007216",2.81201367529792,"up","SLC13A2",9606,9058,"NULL","17","17p13.2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2","protein-coding","SLC13A2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2","O","Na(+)-coupled citrate transporter|Na(+)/"
-2.716636921685,0.176546705520642,757.862799675105,7.82992539058274e-167,1.22561822138792e-162,"ENSG00000008226",-2.716636921685,"down","DLEC1",9606,9940,"NULL","3","3p21.3","deleted in lung and esophageal cancer 1","protein-coding","DLEC1","deleted in lung and esophageal cancer 1","O","DLC-1|deleted in lung and esophageal can"
2.92111542701058,2.64495965582808,171.754743333842,3.06142956888737e-39,4.14425720740284e-35,"ENSG00000008735",2.92111542701058,"up","MAPK8IP2",9606,23542,"NULL","22","22q13.33","mitogen-activated protein kinase 8 interacting protein 2","protein-coding","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","O","C-Jun-amino-terminal kinase-interacting "
-2.95145500914578,3.53941283800853,212.272983012293,4.38508220640736e-48,6.22637822487782e-44,"ENSG00000009694",-2.95145500914578,"down","TENM1",9606,10178,"RP5-1052M9.2","X","Xq25","teneurin transmembrane protein 1","protein-coding","TENM1","teneurin transmembrane protein 1","O","odz (odd Oz/ten-m, Drosophila) homolog 3"
-2.12740239085388,3.38540264925741,185.822627274631,2.59545460950973e-42,3.57056690630253e-38,"ENSG00000010379",-2.12740239085388,"down","SLC6A13",9606,6540,"NULL","12","12p13.3","solute carrier family 6 (neurotransmitter transporter, GABA), member 13","protein-coding","SLC6A13","solute carrier family 6 (neurotransmitter transporter, GABA), member 13","O","GABA transport protein|sodium- and chlor"
3.0309290100307,1.68529568357523,93.8451340953487,3.41202111465037e-22,3.86206669967275e-18,"ENSG00000010932",3.0309290100307,"up","FMO1",9606,2326,"NULL","1","1q24.3","flavin containing monooxygenase 1","protein-coding","FMO1","flavin containing monooxygenase 1","O","FMO 1|Flavin-containing monooxygenase 1 "
2.94501869690187,2.87850447356542,180.30960099513,4.14784170562768e-41,5.67134396410473e-37,"ENSG00000011426",2.94501869690187,"up","ANLN",9606,54443,"NULL","7","7p15-p14","anillin, actin binding protein","protein-coding","ANLN","anillin, actin binding protein","O","actin-binding protein anillin"
-2.86911508970749,2.85275966308993,385.301725364652,8.7239477339625e-86,1.33083822681598e-81,"ENSG00000018280",-2.86911508970749,"down","SLC11A1",9606,6556,"NULL","2","2q35","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1","protein-coding","SLC11A1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1","O","NRAMP 1|natural resistance-associated ma"
3.0625434346954,2.29273481192023,57.9857663469937,2.64021250052597e-14,2.50344949299872e-10,"ENSG00000019505",3.0625434346954,"up","SYT13",9606,57586,"NULL","11","11p12-p11","synaptotagmin XIII","protein-coding","SYT13","synaptotagmin XIII","O","synaptotagmin-13|sytXIII"
2.58410936648035,9.77140547081947,305.872548103732,1.73133646060633e-68,2.59146441423555e-64,"ENSG00000019582",2.58410936648035,"up","CD74",9606,972,"NULL","5","5q32","CD74 molecule, major histocompatibility complex, class II invariant chain","protein-coding","CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","O","CD74 antigen (invariant polypeptide of m"
3.10439114227143,1.73645373144873,172.14950462602,2.5102100553931e-39,3.39932645701333e-35,"ENSG00000024526",3.10439114227143,"up","DEPDC1",9606,55635,"NULL","1","1p31.2","DEP domain containing 1","protein-coding","DEPDC1","DEP domain containing 1","O","5830484J08Rik|DEP domain-containing prot"
-2.0353320670044,2.58668771145895,606.26354654494,7.26841131833206e-134,1.13190969460385e-129,"ENSG00000026036",-2.0353320670044,"down","RTEL1-TNFRSF6B",9606,100533107,"NULL","20","20q13.33","RTEL1-TNFRSF6B readthrough (NMD candidate)","miscRNA","RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate)","O","NULL"
2.42934304395914,8.32789472766901,203.14189941567,4.30749847974745e-46,6.05375836343707e-42,"ENSG00000034510",2.42934304395914,"up","TMSB10",9606,9168,"NULL","2","2p11.2","thymosin beta 10","protein-coding","TMSB10","thymosin beta 10","O","migration-inducing gene 12|migration-ind"
3.1551391963561,1.75851396961929,206.564885872103,7.71505747516836e-47,1.08859460974626e-42,"ENSG00000035499",3.1551391963561,"up","DEPDC1B",9606,55789,"NULL","5","5q12.1","DEP domain containing 1B","protein-coding","DEPDC1B","DEP domain containing 1B","O","DEP domain-containing protein 1B|HBV X-t"
-3.37052576092795,3.06265714071309,416.783876309181,1.22315066851589e-92,1.87643544057023e-88,"ENSG00000042062",-3.37052576092795,"down","FAM65C",9606,140876,"NULL","20","20q13.13","family with sequence similarity 65, member C","protein-coding","FAM65C","family with sequence similarity 65, member C","O","protein FAM65C"
2.83862889415256,4.31639645333445,241.947643884515,1.47924198523271e-54,2.14963445294017e-50,"ENSG00000042493",2.83862889415256,"up","CAPG",9606,822,"NULL","2","2p11.2","capping protein (actin filament), gelsolin-like","protein-coding","CAPG","capping protein (actin filament), gelsolin-like","O","actin regulatory protein CAP-G|actin-reg"
-2.31353552101955,0.984806067263848,145.662879839921,1.53830043689e-33,1.99579098682108e-29,"ENSG00000042832",-2.31353552101955,"down","TG",9606,7038,"NULL","8","8q24","thyroglobulin","protein-coding","TG","thyroglobulin","O","NULL"
6.25013442244697,1.73644629002492,291.462214810036,2.38756750225777e-65,3.55556552436227e-61,"ENSG00000043355",6.25013442244697,"up","ZIC2",9606,7546,"NULL","13","13q32","Zic family member 2","protein-coding","ZIC2","Zic family member 2","O","Zic family member 2 (odd-paired homolog,"
